time:31.5176,vol:222.896
time:31.6776,vol:223.003
time:31.7704,vol:223.022
time:31.9175,vol:223.103
time:32.0224,vol:223.142
time:32.169,vol:223.243
time:32.2676,vol:223.428
time:32.3767,vol:223.493
time:32.518,vol:223.787
time:32.6279,vol:223.89
time:32.7684,vol:224.355
time:32.9192,vol:224.665
time:33.0693,vol:224.927
time:33.2236,vol:225.135
time:33.3692,vol:225.222
time:33.5177,vol:225.553
time:33.6277,vol:225.617
time:33.7687,vol:225.757
time:33.9422,vol:225.823
time:34.0683,vol:225.869
time:34.222,vol:225.893
time:34.3696,vol:225.927
time:34.5218,vol:225.969
time:34.6202,vol:225.986
time:34.7684,vol:226.047
time:34.8701,vol:226.202
time:35.0201,vol:226.365
time:35.1182,vol:226.461
time:35.27,vol:226.777
time:35.3745,vol:227.024
time:35.5238,vol:227.618
time:35.6676,vol:228.372
time:35.7821,vol:229.685
time:35.9292,vol:230.097
time:36.0693,vol:231.399
time:36.174,vol:232.739
time:36.3178,vol:234.527
time:36.4685,vol:235.784
time:36.5735,vol:237.034
time:36.7263,vol:237.905
time:36.8222,vol:238.817
time:36.9771,vol:240.253
time:37.118,vol:241.621
time:37.2682,vol:243.363
time:37.3822,vol:244.475
time:37.5181,vol:246.113
time:37.6733,vol:247.298
time:37.7847,vol:249.102
time:37.9177,vol:249.588
time:38.0711,vol:250.092
time:38.1776,vol:250.566
time:38.3249,vol:251.05
time:38.4677,vol:251.689
time:38.5686,vol:252.101
time:38.7187,vol:253.146
time:38.818,vol:253.621
time:38.9712,vol:254.775
time:39.1178,vol:255.908
time:39.272,vol:256.593
time:39.3801,vol:257.12
time:39.518,vol:257.832
time:39.6709,vol:259.08
time:39.777,vol:260.283
time:39.9289,vol:261.447
time:40.0679,vol:262.25
time:40.1997,vol:263.297
time:40.32,vol:264.363
time:40.468,vol:265.211
time:40.5749,vol:266.103
time:40.7178,vol:266.832
time:40.8243,vol:266.946
time:40.9258,vol:267.358
time:41.0685,vol:267.869
time:41.1708,vol:268.076
time:41.3178,vol:270.635
time:41.4739,vol:272.031
time:41.5748,vol:274.25
time:41.7178,vol:275.04
time:41.8272,vol:275.598
time:41.9194,vol:276.355
time:42.08,vol:277.015
time:42.1705,vol:277.222
time:42.2679,vol:278.162
time:42.3694,vol:278.223
time:42.5184,vol:279.576
time:42.6713,vol:280.54
time:42.7739,vol:280.803
time:42.9177,vol:282.95
time:43.0296,vol:283.446
time:43.1688,vol:284.93
time:43.3196,vol:287.368
time:43.4682,vol:288.77
time:43.5745,vol:290.093
time:43.7303,vol:291.625
time:43.868,vol:292.347
time:43.9768,vol:292.681
time:44.1184,vol:294.168
time:44.2702,vol:294.649
time:44.3698,vol:294.911
time:44.5183,vol:295.694
time:44.6726,vol:296.513
time:44.7694,vol:296.98
time:44.9247,vol:298.505
time:45.02,vol:299.336
time:45.1704,vol:300.546
time:45.3186,vol:304.038
time:45.4683,vol:305.457
time:45.5726,vol:306.107
time:45.6693,vol:307.97
time:45.7758,vol:309.746
time:45.8857,vol:309.746
time:46.0189,vol:311.387
time:46.1183,vol:312.743
time:46.2728,vol:313.241
time:46.3782,vol:314.537
time:46.5249,vol:315.443
time:46.669,vol:316.386
time:46.7765,vol:316.899
time:46.919,vol:317.774
time:47.069,vol:318.165
time:47.185,vol:318.636
time:47.2969,vol:318.996
time:47.4208,vol:319.609
time:47.5199,vol:320.134
time:47.6191,vol:320.297
time:47.7751,vol:320.745
time:47.9196,vol:321.335
time:48.0186,vol:321.684
time:48.1276,vol:322.199
time:48.2701,vol:322.617
time:48.3789,vol:322.933
time:48.5205,vol:323.179
time:48.6686,vol:323.517
time:48.7744,vol:323.597
time:48.9182,vol:323.763
time:49.0248,vol:323.834
time:49.1732,vol:323.991
time:49.3239,vol:324.043
time:49.4441,vol:324.052
time:49.5727,vol:324.066
time:49.7199,vol:324.078
time:49.8688,vol:324.081
time:49.9827,vol:324.083
time:50.1184,vol:324.084
time:50.2185,vol:324.1
time:50.3263,vol:324.156
time:50.4695,vol:327.578
time:50.5696,vol:330.447
time:50.7197,vol:345.279
time:50.8689,vol:355.849
time:51.0628,vol:360.405
time:51.1692,vol:362.766
time:51.3206,vol:363.401
time:51.42,vol:363.52
time:51.5712,vol:364.335
time:51.7876,vol:365.526
time:51.9214,vol:367.046
time:52.0192,vol:367.348
time:52.1186,vol:368.176
time:52.2259,vol:368.53
time:52.369,vol:370.203
time:52.5151,vol:371.77
time:52.6199,vol:372.355
time:52.7695,vol:372.467
time:52.9193,vol:372.758
time:53.0686,vol:373.306
time:53.2087,vol:374.003
time:53.3185,vol:375.962
time:53.429,vol:376.575
time:53.52,vol:378.43
time:53.6687,vol:380.351
time:53.7713,vol:381.77
time:53.8846,vol:383.448
time:54.0194,vol:384.017
time:54.17,vol:384.581
time:54.3191,vol:385.681
time:54.4707,vol:386.572
time:54.6145,vol:386.776
time:54.7207,vol:388.164
time:54.8208,vol:388.925
time:54.9191,vol:390.116
time:55.069,vol:391.548
time:55.1693,vol:391.638
time:55.2683,vol:392.598
time:55.3756,vol:393.021
time:55.5206,vol:393.915
time:55.6706,vol:394.577
time:55.7708,vol:394.769
time:55.9201,vol:396.159
time:56.0485,vol:396.461
time:56.1693,vol:397.534
time:56.2734,vol:399.125
time:56.4187,vol:399.938
time:56.5786,vol:401.318
time:56.7856,vol:402.309
time:56.9214,vol:403.8
time:57.0684,vol:404.574
time:57.1691,vol:404.834
time:57.269,vol:405.631
time:57.3777,vol:406.109
time:57.4989,vol:406.109
time:57.6221,vol:407.393
time:57.7741,vol:408.142
time:57.9208,vol:408.724
time:58.0694,vol:409.172
time:58.2223,vol:409.82
time:58.371,vol:410.979
time:58.523,vol:411.65
time:58.6187,vol:412.237
time:58.7191,vol:413.258
time:58.9212,vol:414.511
time:59.07,vol:417.342
time:59.1732,vol:418.711
time:59.3189,vol:420.158
time:59.4237,vol:420.341
time:59.6024,vol:422.014
time:59.7283,vol:424.159
time:59.8684,vol:425.3
time:59.9756,vol:426.212
time:60.1203,vol:427.303
time:60.2888,vol:428.024
time:60.4186,vol:429.665
time:60.5189,vol:430.771
time:60.6745,vol:431.457
time:60.7783,vol:432.706
time:61.01,vol:433.883
time:61.1238,vol:435.003
time:61.2754,vol:435.639
time:61.3774,vol:436.111
time:61.5242,vol:436.566
time:61.6258,vol:436.811
time:61.7264,vol:437.116
time:61.8736,vol:437.685
time:61.9758,vol:438.074
time:62.1235,vol:438.694
time:62.2276,vol:439.526
time:62.325,vol:440.454
time:62.4737,vol:441.814
time:62.5809,vol:443.893
time:62.7857,vol:446.693
time:62.9298,vol:449.919
time:63.0243,vol:450.432
