///1
time:28.6192,vol:263.898
time:28.7614,vol:264.914
time:28.8609,vol:265.269
time:28.9949,vol:266.265
time:29.1137,vol:267.178
time:29.2143,vol:267.767
time:29.3646,vol:268.673
time:29.4738,vol:269.716
time:29.6022,vol:270.591
time:29.7614,vol:272.197
time:29.8597,vol:272.828
time:30.0062,vol:275.659
time:30.1259,vol:277.348
time:30.252,vol:281.169
time:30.3709,vol:282.24
time:30.4745,vol:285.486
time:30.6232,vol:287.714
time:30.7273,vol:289.422
time:30.8234,vol:291.202
time:30.9462,vol:292.888
time:31.0599,vol:294.391
time:31.1856,vol:296.483
time:31.3385,vol:297.558
time:31.4316,vol:297.829
time:31.5958,vol:298.529
time:31.7021,vol:299.312
time:31.8218,vol:299.961
time:31.9811,vol:301.062
time:32.0767,vol:302.145
time:32.218,vol:302.89
time:32.3224,vol:303.552
time:32.4183,vol:304.24
time:32.5639,vol:305.176
time:32.6581,vol:305.493
time:32.7794,vol:306.343
time:32.9055,vol:307.211
time:33.006,vol:307.89
time:33.16,vol:309.293
time:33.2617,vol:309.905
time:33.3696,vol:312.286
time:33.5018,vol:314.775
time:33.6052,vol:316.486
time:33.729,vol:318.982
time:33.8506,vol:319.981
time:33.9526,vol:321.419
time:34.1015,vol:322.404
time:34.2194,vol:322.924
time:34.3445,vol:323.629
time:34.4615,vol:323.902
time:34.5649,vol:324.44
time:34.6994,vol:324.822
time:34.8129,vol:325.154
time:34.9212,vol:325.432
time:35.0677,vol:326.189
time:35.1697,vol:326.46
time:35.2988,vol:327.592
time:35.4192,vol:328.717
time:35.5177,vol:330.167
time:35.6729,vol:333.362
time:35.7754,vol:334.197
time:35.8759,vol:336.57
time:36.0169,vol:338.141
time:36.1202,vol:339.409
time:36.2141,vol:340.376
time:36.35,vol:342.164
time:36.451,vol:342.967
time:36.5476,vol:345.431
time:36.6913,vol:348.111
time:36.7858,vol:348.87
time:36.9236,vol:350.397
time:37.0334,vol:351.215
time:37.1503,vol:352.358
time:37.2869,vol:353.387
time:37.392,vol:353.705
time:37.4868,vol:354.653
time:37.6279,vol:355.23
time:37.7222,vol:355.728
time:37.8562,vol:356.168
time:37.9712,vol:356.752
time:38.064,vol:356.932
time:38.222,vol:357.436
time:38.3236,vol:357.584
time:38.4206,vol:357.714
time:38.587,vol:357.796
time:38.6874,vol:357.898
time:38.8354,vol:358.101
time:38.9355,vol:358.442
time:39.032,vol:359.161
time:39.1744,vol:360.729
time:39.2881,vol:363.028
time:39.3851,vol:363.976
time:39.524,vol:367.213
time:39.627,vol:369.611
time:39.7626,vol:371.991
time:39.8766,vol:373.553
time:40.0056,vol:374.317
time:40.1673,vol:375.378
time:40.266,vol:376.405
time:40.4034,vol:377.106
time:40.5069,vol:377.724
time:40.6063,vol:378.498
time:40.7578,vol:379.731
time:40.8613,vol:380.22
time:40.9686,vol:381.862
time:41.1057,vol:383.376
time:41.2048,vol:385.739
time:41.3298,vol:388.421
time:41.4439,vol:389.326
time:41.5494,vol:392.311
time:41.7039,vol:394.12
